trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-99.45866747142098,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,0,-127.79489768460675,"{0: 16, 1: 4, 2: 7, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-128.5851711621374,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,0,-142.97551712741185,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-95.771082259626,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-68.99638258883306,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,3,-203.33852204481923,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 4}",1
8,False,"{'a': 0.5, 'e': 0.9559974818331}",30,0,-147.01791331764338,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-102.04917015499804,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9464851479534838}",25,0,-186.05590744959636,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-229.64309048606884,"{0: 10, 1: 4, 2: 6, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,0,-29.31156879782997,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,0,-182.26342502780068,"{0: 16, 1: 7, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9277434863285529}",30,14,-86.14781370527521,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9231163463866358}",35,14,-47.09098901792611,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-84.77457538332949,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-125.00835690998183,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9093729344682314}",25,0,-116.76210396708228,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,10,-64.088895115223,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.9003245225862656}",35,0,-138.84552097637024,"{0: 21, 1: 5, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-125.80236835038286,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8913661439068313}",20,0,-48.56142398867384,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-81.6351864919928,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8824969025845955}",30,0,-35.76738988175681,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-15.925026988901012,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.8737159116880344}",25,0,-149.60632404344818,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,5,-50.015200155279864,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.8650222931107413}",30,0,-150.2487403637391,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,2,-73.48975974125315,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.8564151774836135}",20,0,-99.81519302257125,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
