trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.77799943784622,"{0: 11, 1: 3, 2: 11, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.77550429549234,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.1309157294729,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-270.40655433482107,"{0: 10, 1: 2, 2: 7, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.9950408906592,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.49519322065665,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.80746398974742,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.64883738506518,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-191.25764798686498,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.8586001816043,"{0: 13, 1: 2, 2: 0, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.71464068522415,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.34836649591892,"{0: 11, 1: 7, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.44812682218475,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.36449075314144,"{0: 10, 1: 6, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.04992613657032,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-48.56004833762035,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.98976452091968,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.37094847672543,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.08750058060514,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.83110769433685,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,7,-37.10726449464114,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-217.68527904687852,"{0: 13, 1: 6, 2: 8, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-175.01651695032052,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,1,-63.632466635860354,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-132.7257902447204,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.15262390846475,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-221.00234137376464,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.89622245648478,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-52.74867703063445,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,11,-120.354937093442,"{0: 6, 1: 1, 2: 4, 3: 2, 4: 1}",1
